id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
synthetix-network-token,58,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,468601225.7447658744472664,12103484.8115497091379313,2.0049964705022537,4.1220762237723065,1.9803068872392491,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
iota,59,MIOTA,IOTA,2779530283.0000000000000000,2779530283.0000000000000000,458188295.2341447380156268,3523762.3855500347863057,0.1648437860297796,0.9886652817752761,0.1660390034935088,https://thetangle.org/
ecash,60,XEC,eCash,19488010923093.0000000000000000,21000000000000.0000000000000000,451790731.6555579850515872,2525310.2120658907721575,0.0000231830089504,1.2021612870822488,0.0000231012396312,https://explorer.bitcoinabc.org/
chiliz,61,CHZ,Chiliz,7401879904.8224830000000000,8888888888.0000000000000000,443543128.7417956153892334,11063091.2460790215271608,0.0599230377208387,0.4110315162077752,0.0598015072752412,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
flow,62,FLOW,Flow,1036200000.0000000000000000,,442641647.3611241188200000,17465472.6279723906873567,0.4271778106167961,0.5507176680800133,0.4280012339084405,https://flowscan.org/
klaytn,63,KLAY,Klaytn,3189936094.0609000000000000,,426287576.9128389434820816,963441.7300444325085758,0.1336351463925912,-0.4418736159263419,0.1337495520954474,https://scope.klaytn.com/blocks
zcash,64,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,413116053.3126408415108594,25737065.8401473929493286,25.3006647329124125,1.0302593945018584,24.6863124254482574,https://explorer.zcha.in/
gala,65,GALA,Gala,23385111911.0230940000000000,50000000000.0000000000000000,412610161.9653011552643372,23454785.1166053244475092,0.0176441388664387,-4.7919621663952504,0.0182602364660622,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
frax-share,66,FXS,Frax Share,73371476.2120067900000000,,412029628.1080683472588400,236387.2207953506350891,5.6156649611016309,-0.9065030269540620,5.6634550921328080,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
casper,67,CSPR,Casper,11292588631.0000000000000000,,405463638.1189854374054155,730531.3849016425839053,0.0359052872081005,1.4133513175149766,0.0358917621303079,https://casperstats.io/
conflux-network,68,CFX,Conflux,3172179703.6955075000000000,,389099711.0187405296349452,7331032.3659630205592505,0.1226600468332388,-1.9005197103995876,0.1240514105807854,http://www.confluxscan.io/
kucoin-token,69,KCS,KuCoin Token,96732986.4258510000000000,170118638.0000000000000000,386105579.6532995813711160,539764.6531626343482271,3.9914572465852912,2.6232046723411558,3.9315312067023980,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
huobi-token,70,HT,Huobi Token,162233844.0000000000000000,500000000.0000000000000000,382086918.8012632449151116,12837677.5360333878436762,2.3551615950199839,-0.3882999780176934,2.3601171413325271,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
curve-dao-token,71,CRV,Curve DAO Token,870710834.0000000000000000,3303030299.0000000000000000,381460638.9810089399767234,3702202.5432893466403766,0.4381025526334601,0.2245390302815544,0.4377755167050298,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
fei-protocol,72,FEI,Fei Protocol,424996177.7889055600000000,,375134336.2126418415271571,1003617.0370020792522158,0.8826769646831272,1.1229228321642615,0.9458265590893520,https://etherscan.io/token/0x956F47F50A910163D8BF957Cf5846D573E7f87CA
gatetoken,73,GT,GateToken,96041908.6962726100000000,,374083527.1170646015930709,274328.6277426872203970,3.8950030480973021,0.0402191086216218,3.8958707704958810,
mina,74,MINA,Mina,961543229.8400393000000000,,361260519.2348895017008408,1608891.7924144088299120,0.3757090768503338,0.4581133669278661,0.3738460475247416,https://minaexplorer.com/
ftx-token,75,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,338983266.4551005564859522,4210577.7471361855072351,1.0306728878749835,2.1205356161732391,1.0331588336737714,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
trust-wallet-token,76,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,338702214.1102503321645600,777970.7352840163746947,0.8129180256859544,0.9660017803358378,0.8102251121856514,https://explorer.binance.org/asset/TWT-8C2
dydx,77,DYDX,dYdX,156256174.0000000000000000,1000000000.0000000000000000,320886569.5887039622316236,26931132.0897179690276414,2.0535929005192714,0.7189043094429029,2.0445420517559289,
compound,78,COMP,Compound,7815297.8059619700000000,10000000.0000000000000000,317456632.4670535050118182,8722681.4206089320499062,40.6199021904039110,-0.5796579629320463,40.6832386087044660,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
nexo,79,NEXO,Nexo,560000011.0000000000000000,1000000000.0000000000000000,312554997.7284923610700222,131199.5255332756286150,0.5581339135518202,0.1988852474261360,0.5818609224608983,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
dash,80,DASH,Dash,11437807.2880503100000000,18900000.0000000000000000,296409706.8121091276925907,22657530.5408494752053001,25.9149065329841872,0.8264408550637412,25.3416153445683207,https://explorer.dash.org
wootrade,81,WOO,WOO Network,1741116976.5828114000000000,,288310141.3735337206852505,1788992.8725932500884749,0.1655891851329732,-0.9686043790743182,0.1684815704184509,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
pancakeswap,82,CAKE,PancakeSwap,224319591.5494329600000000,750000000.0000000000000000,276533450.8266745277400207,2469671.2376124653470424,1.2327654883667853,-0.4313106741649941,1.2359605757948379,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
arweave,83,AR,Arweave,65454185.0000000000000000,66000000.0000000000000000,268868630.7311577455048910,1948628.8908457225817264,4.1077378128099486,-1.0588048916926821,4.1425489800172494,https://viewblock.io/arweave
gnosis-gno,84,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,262462261.6369068889067640,4062157.8845098609265654,101.3529031015385030,-0.1457589809337281,101.2046023312609853,https://etherscan.io/token/Gnosis
oasis-network,85,ROSE,Oasis Network,6542267493.0000000000000000,10000000000.0000000000000000,259723964.5413900329383989,1547395.6022873029989953,0.0396993801949073,1.2128796839609809,0.0395246672518254,https://www.oasisscan.com/
zilliqa,86,ZIL,Zilliqa,15867699446.7699000000000000,21000000000.0000000000000000,254178634.2717917923037975,4618834.9133098514190567,0.0160186191529821,0.9653711863034534,0.0159776995845206,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
basic-attention-token,87,BAT,Basic Attention Token,1489950991.7326057000000000,1500000000.0000000000000000,249070128.8580666232335703,7191936.9194621845018025,0.1671666586619958,-0.1582655095937493,0.1674718530774565,https://etherscan.io/token/Bat
